text	question	A	B	C	D	E	answer	reason
"Los epicúreos han contestado siempre que no son ellos, sino sus acusadores, los que ofrecen una visión degradada de la naturaleza humana; ya que la acusación supone que los seres humanos no son capaces de experimentar más placeres que los que pueden experimentar los puercos. Si esta suposición fuese cierta, la acusación no podría ser desmentida, pero ya no sería un reproche, puesto que, si las fuentes del placer fueran exactamente iguales para los seres humanos y para los cerdos, la regla de vida que fuera lo suficientemente buena para los unos sería lo suficientemente buena para los otros. Resulta degradante la comparación de la vida epicúrea con la de las bestias precisamente porque los placeres de una bestia no satisfacen la concepción de felicidad de un ser humano. Los seres humanos poseen facultades más elevadas que los apetitos animales, y una vez que son conscientes de su existencia no consideran como felicidad nada que no incluya la gratificación de aquellas facultades. Con todo, no existe ninguna teoría conocida de la vida epicúrea que no asigne a los placeres del intelecto, de los sentimientos y de la imaginación. y de los sentimientos morales, un valor mucho más elevado en cuanto placer que a los de la pura sensación. STUART MIL, John ""El utilitarismo"""	¿Cuál de los siguientes sería el título apropiado para el texto leído?	La naturaleza de la existencia humana	La concepción epicúrea de la felicidad	El significado fundamental de la vida	Discusión sobre la existencia epicúrea	Debate sobre la felicidad de los epicúreos	B	¿Cuál de los siguientes sería el título apropiado para el texto leído? La concepción epicúrea de la felicidad. En el texto, Stuart Mili explica por qué es ilegítima la acusación que se le hace al epicureísmo. La razón es que esta doctrina posee un concepto elevado de felicidad. Su noción de placer integra tanto lo físico como lo espiritual, e incluso asigna más valor a lo segundo. Por tanto, lo central en el texto sería la concepción de felicidad propugnada por los epicúreos.  
No es un Estado, no es islámico, pero se parece a algunos Estados y también a algunas tendencias del islam. No es un Estado porque no atiende a más ley ni orden que la fuerza y la crueldad de quienes lo reivindican, aunque explota pozos de petróleo y hace incluso como que administra ciudades, bajo la vigilancia de un ejército de asesinos reclutado en todo el planeta. Tampoco es islámico si atendemos al mensaje de paz y reconciliación en el que creen la mayoría de los musulmanes, aunque son claras sus afinidades con las sectas islamistas más visibles y probablemente poderosas. La mejor prueba es Arabia Saudita, patria de la muerte por decapitación. Solo en agosto, en Riad se ha ejecutado, mayoritariamente por golpe de sable, a 19 personas, 34 en el conjunto del año y hasta 78 el pasado 2013. Nadie sabe tanto de rigorismo islámico como los policías religiosos wahabitas, pagados por el Estado bien islámico de los Saud. La síntesis de ambas cosas, el sable y la shahada, el credo musulmán, aparecen sobre fondo verde en la bandera del país. Los desmochadores de cabezas del Estado Islámico y sus imitadores argelinos tienen dónde inspirarse, aunque prefieran el machete al sable. Los verdugos saudíes son maestros carniceros, que rebanan de un solo corte la mano de un ladrón o el cuello de un apóstata. Lo hacen en la plaza pública, en conformidad con la arcaica función ejemplarizante de la pena capital, aunque lejos de la capacidad amedrentadora global de los nuevos desmochadores, con la difusión vírica de las grabaciones de sus repugnantes sacrificios humanos. No es fácil diferenciar al Estado Islámico de Irak de este otro Estado también islámico reconocido internacionalmente y admitido en consejos de administración y salones occidentales. Arabia Saudí es el único país del mundo donde la decapitación es legal, pero no es el único donde delitos como la apostasía merecen la pena de muerte. El Irán de los ayatolás también ejecuta similares delitos. Y son muchos los países islámicos, desde Pakistán hasta Mauritania, donde está bien asentada la convicción de que la blasfemia y la conversión de un musulmán a otra religión merecen el máximo castigo, gracias también a la influencia y al dinero que Riad manda a sus mezquitas y madrazas. Cabe todo tipo de conjeturas respecto a las causas de estas decapitaciones. La más a mano para los musulmanes sin fuertes convicciones liberales y democráticas es encontrarlas en responsabilidades ajenas. Mayor interés tiene saber si la coalición internacional que organiza los bombardeos aéreos será capaz de terminar con los desmochadores de cabezas. Los primeros interesados son los musulmanes liberales y demócratas de todo el mundo, cuya religión corre peligro de secuestro en manos de esos yihadistas tan similares a los guardianes saudíes de los Santos Lugares.	La expresión A MANO implica	conformidad.	reciprocidad.	propincuidad.	sencillez.	trascendencia.	D	Las conjeturas más simples para los musulmanes sin fuertes convicciones liberales y demócratas es encontrarlas en responsabilidades ajenas.
No es un Estado, no es islámico, pero se parece a algunos Estados y también a algunas tendencias del islam. No es un Estado porque no atiende a más ley ni orden que la fuerza y la crueldad de quienes lo reivindican, aunque explota pozos de petróleo y hace incluso como que administra ciudades, bajo la vigilancia de un ejército de asesinos reclutado en todo el planeta. Tampoco es islámico si atendemos al mensaje de paz y reconciliación en el que creen la mayoría de los musulmanes, aunque son claras sus afinidades con las sectas islamistas más visibles y probablemente poderosas. La mejor prueba es Arabia Saudita, patria de la muerte por decapitación. Solo en agosto, en Riad se ha ejecutado, mayoritariamente por golpe de sable, a 19 personas, 34 en el conjunto del año y hasta 78 el pasado 2013. Nadie sabe tanto de rigorismo islámico como los policías religiosos wahabitas, pagados por el Estado bien islámico de los Saud. La síntesis de ambas cosas, el sable y la shahada, el credo musulmán, aparecen sobre fondo verde en la bandera del país. Los desmochadores de cabezas del Estado Islámico y sus imitadores argelinos tienen dónde inspirarse, aunque prefieran el machete al sable. Los verdugos saudíes son maestros carniceros, que rebanan de un solo corte la mano de un ladrón o el cuello de un apóstata. Lo hacen en la plaza pública, en conformidad con la arcaica función ejemplarizante de la pena capital, aunque lejos de la capacidad amedrentadora global de los nuevos desmochadores, con la difusión vírica de las grabaciones de sus repugnantes sacrificios humanos. No es fácil diferenciar al Estado Islámico de Irak de este otro Estado también islámico reconocido internacionalmente y admitido en consejos de administración y salones occidentales. Arabia Saudí es el único país del mundo donde la decapitación es legal, pero no es el único donde delitos como la apostasía merecen la pena de muerte. El Irán de los ayatolás también ejecuta similares delitos. Y son muchos los países islámicos, desde Pakistán hasta Mauritania, donde está bien asentada la convicción de que la blasfemia y la conversión de un musulmán a otra religión merecen el máximo castigo, gracias también a la influencia y al dinero que Riad manda a sus mezquitas y madrazas. Cabe todo tipo de conjeturas respecto a las causas de estas decapitaciones. La más a mano para los musulmanes sin fuertes convicciones liberales y democráticas es encontrarlas en responsabilidades ajenas. Mayor interés tiene saber si la coalición internacional que organiza los bombardeos aéreos será capaz de terminar con los desmochadores de cabezas. Los primeros interesados son los musulmanes liberales y demócratas de todo el mundo, cuya religión corre peligro de secuestro en manos de esos yihadistas tan similares a los guardianes saudíes de los Santos Lugares.	Elija la idea principal del texto.	La religión islámica está secuestrada por los yihadistas que forman parte del «Estado Islámico».	La decapitación evidencia la semejanza entre el «Estado Islámico» y ciertas sectas islamistas.	La decapitación es una práctica inveterada que todavía continúa vigente en Arabia Saudita.	Los diversos países del medio oriente se caracterizan por tener una legislación muy severa.	El «Estado Islámico» revela un profundo desprecio por la dignidad de los seres humanos.	B	Aunque son claras sus afinidades con las sectas islamistas más visibles y probablemente poderosas. La mejor prueba es Arabia Saudita, patria de la muerte por decapitación.
No es un Estado, no es islámico, pero se parece a algunos Estados y también a algunas tendencias del islam. No es un Estado porque no atiende a más ley ni orden que la fuerza y la crueldad de quienes lo reivindican, aunque explota pozos de petróleo y hace incluso como que administra ciudades, bajo la vigilancia de un ejército de asesinos reclutado en todo el planeta. Tampoco es islámico si atendemos al mensaje de paz y reconciliación en el que creen la mayoría de los musulmanes, aunque son claras sus afinidades con las sectas islamistas más visibles y probablemente poderosas. La mejor prueba es Arabia Saudita, patria de la muerte por decapitación. Solo en agosto, en Riad se ha ejecutado, mayoritariamente por golpe de sable, a 19 personas, 34 en el conjunto del año y hasta 78 el pasado 2013. Nadie sabe tanto de rigorismo islámico como los policías religiosos wahabitas, pagados por el Estado bien islámico de los Saud. La síntesis de ambas cosas, el sable y la shahada, el credo musulmán, aparecen sobre fondo verde en la bandera del país. Los desmochadores de cabezas del Estado Islámico y sus imitadores argelinos tienen dónde inspirarse, aunque prefieran el machete al sable. Los verdugos saudíes son maestros carniceros, que rebanan de un solo corte la mano de un ladrón o el cuello de un apóstata. Lo hacen en la plaza pública, en conformidad con la arcaica función ejemplarizante de la pena capital, aunque lejos de la capacidad amedrentadora global de los nuevos desmochadores, con la difusión vírica de las grabaciones de sus repugnantes sacrificios humanos. No es fácil diferenciar al Estado Islámico de Irak de este otro Estado también islámico reconocido internacionalmente y admitido en consejos de administración y salones occidentales. Arabia Saudí es el único país del mundo donde la decapitación es legal, pero no es el único donde delitos como la apostasía merecen la pena de muerte. El Irán de los ayatolás también ejecuta similares delitos. Y son muchos los países islámicos, desde Pakistán hasta Mauritania, donde está bien asentada la convicción de que la blasfemia y la conversión de un musulmán a otra religión merecen el máximo castigo, gracias también a la influencia y al dinero que Riad manda a sus mezquitas y madrazas. Cabe todo tipo de conjeturas respecto a las causas de estas decapitaciones. La más a mano para los musulmanes sin fuertes convicciones liberales y democráticas es encontrarlas en responsabilidades ajenas. Mayor interés tiene saber si la coalición internacional que organiza los bombardeos aéreos será capaz de terminar con los desmochadores de cabezas. Los primeros interesados son los musulmanes liberales y demócratas de todo el mundo, cuya religión corre peligro de secuestro en manos de esos yihadistas tan similares a los guardianes saudíes de los Santos Lugares.	Es incompatible sostener que, en Arabia Saudita, la decapitación	es una medida claramente represiva.	es un inusual método de ejecución.	está contemplada en su marco legal.	se lleva a cabo de manera pública.	es una práctica sumamente arraigada.	B	La mejor prueba es Arabia Saudita, patria de la muerte por decapitación. Solo en agosto, en Riad se ha ejecutado, mayoritariamente por golpe de sable, a 19 personas, 34 en el conjunto del año y hasta 78 el pasado 2013.
No es un Estado, no es islámico, pero se parece a algunos Estados y también a algunas tendencias del islam. No es un Estado porque no atiende a más ley ni orden que la fuerza y la crueldad de quienes lo reivindican, aunque explota pozos de petróleo y hace incluso como que administra ciudades, bajo la vigilancia de un ejército de asesinos reclutado en todo el planeta. Tampoco es islámico si atendemos al mensaje de paz y reconciliación en el que creen la mayoría de los musulmanes, aunque son claras sus afinidades con las sectas islamistas más visibles y probablemente poderosas. La mejor prueba es Arabia Saudita, patria de la muerte por decapitación. Solo en agosto, en Riad se ha ejecutado, mayoritariamente por golpe de sable, a 19 personas, 34 en el conjunto del año y hasta 78 el pasado 2013. Nadie sabe tanto de rigorismo islámico como los policías religiosos wahabitas, pagados por el Estado bien islámico de los Saud. La síntesis de ambas cosas, el sable y la shahada, el credo musulmán, aparecen sobre fondo verde en la bandera del país. Los desmochadores de cabezas del Estado Islámico y sus imitadores argelinos tienen dónde inspirarse, aunque prefieran el machete al sable. Los verdugos saudíes son maestros carniceros, que rebanan de un solo corte la mano de un ladrón o el cuello de un apóstata. Lo hacen en la plaza pública, en conformidad con la arcaica función ejemplarizante de la pena capital, aunque lejos de la capacidad amedrentadora global de los nuevos desmochadores, con la difusión vírica de las grabaciones de sus repugnantes sacrificios humanos. No es fácil diferenciar al Estado Islámico de Irak de este otro Estado también islámico reconocido internacionalmente y admitido en consejos de administración y salones occidentales. Arabia Saudí es el único país del mundo donde la decapitación es legal, pero no es el único donde delitos como la apostasía merecen la pena de muerte. El Irán de los ayatolás también ejecuta similares delitos. Y son muchos los países islámicos, desde Pakistán hasta Mauritania, donde está bien asentada la convicción de que la blasfemia y la conversión de un musulmán a otra religión merecen el máximo castigo, gracias también a la influencia y al dinero que Riad manda a sus mezquitas y madrazas. Cabe todo tipo de conjeturas respecto a las causas de estas decapitaciones. La más a mano para los musulmanes sin fuertes convicciones liberales y democráticas es encontrarlas en responsabilidades ajenas. Mayor interés tiene saber si la coalición internacional que organiza los bombardeos aéreos será capaz de terminar con los desmochadores de cabezas. Los primeros interesados son los musulmanes liberales y demócratas de todo el mundo, cuya religión corre peligro de secuestro en manos de esos yihadistas tan similares a los guardianes saudíes de los Santos Lugares.	Se colige del texto que la legislación de Arabia Saudita	contempla la cadena perpetua para todos los ladrones.	no considera que convertirse a otra religión sea delito.	se caracteriza principalmente por ser muy indulgente.	se circunscribe a todos los acuerdos internacionales.	considera que abjurar es el peor de los crímenes.	E	Los verdugos saudíes son maestros carniceros, que rebanan de un solo corte la mano de un ladrón o el cuello de un apóstata.
No es un Estado, no es islámico, pero se parece a algunos Estados y también a algunas tendencias del islam. No es un Estado porque no atiende a más ley ni orden que la fuerza y la crueldad de quienes lo reivindican, aunque explota pozos de petróleo y hace incluso como que administra ciudades, bajo la vigilancia de un ejército de asesinos reclutado en todo el planeta. Tampoco es islámico si atendemos al mensaje de paz y reconciliación en el que creen la mayoría de los musulmanes, aunque son claras sus afinidades con las sectas islamistas más visibles y probablemente poderosas. La mejor prueba es Arabia Saudita, patria de la muerte por decapitación. Solo en agosto, en Riad se ha ejecutado, mayoritariamente por golpe de sable, a 19 personas, 34 en el conjunto del año y hasta 78 el pasado 2013. Nadie sabe tanto de rigorismo islámico como los policías religiosos wahabitas, pagados por el Estado bien islámico de los Saud. La síntesis de ambas cosas, el sable y la shahada, el credo musulmán, aparecen sobre fondo verde en la bandera del país. Los desmochadores de cabezas del Estado Islámico y sus imitadores argelinos tienen dónde inspirarse, aunque prefieran el machete al sable. Los verdugos saudíes son maestros carniceros, que rebanan de un solo corte la mano de un ladrón o el cuello de un apóstata. Lo hacen en la plaza pública, en conformidad con la arcaica función ejemplarizante de la pena capital, aunque lejos de la capacidad amedrentadora global de los nuevos desmochadores, con la difusión vírica de las grabaciones de sus repugnantes sacrificios humanos. No es fácil diferenciar al Estado Islámico de Irak de este otro Estado también islámico reconocido internacionalmente y admitido en consejos de administración y salones occidentales. Arabia Saudí es el único país del mundo donde la decapitación es legal, pero no es el único donde delitos como la apostasía merecen la pena de muerte. El Irán de los ayatolás también ejecuta similares delitos. Y son muchos los países islámicos, desde Pakistán hasta Mauritania, donde está bien asentada la convicción de que la blasfemia y la conversión de un musulmán a otra religión merecen el máximo castigo, gracias también a la influencia y al dinero que Riad manda a sus mezquitas y madrazas. Cabe todo tipo de conjeturas respecto a las causas de estas decapitaciones. La más a mano para los musulmanes sin fuertes convicciones liberales y democráticas es encontrarlas en responsabilidades ajenas. Mayor interés tiene saber si la coalición internacional que organiza los bombardeos aéreos será capaz de terminar con los desmochadores de cabezas. Los primeros interesados son los musulmanes liberales y demócratas de todo el mundo, cuya religión corre peligro de secuestro en manos de esos yihadistas tan similares a los guardianes saudíes de los Santos Lugares.	Si un pakistaní sostiene que Mahoma no es el verdadero profeta, probablemente	sería sancionado con la mutilación de un brazo.	recibiría la pena capital como severo castigo.	recibiría el indulto por no ser una falta grave.	lo condenarían, según la ley, a la decapitación.	sería castigado con la temible cadena perpetua.	B	Son muchos los países islámicos, desde Pakistán hasta Mauritania, donde está bien asentada la convicción de que la blasfemia y la conversión de un musulmán a otra religión merecen el máximo castigo.
Una utopía es una visión de la sociedad perfecta sin el establecimiento de los medios para construirla. La motivación habitual del utopismo son los defectos (reales o imaginarios) de las sociedades del momento, que aquél crítica de una manera más o menos velada. Sin embargo, la fantasía utópica no es necesariamente estéril, una utopía es una especie de experimento o simulación meditada que suscita el examen crítico de cuestiones de este tipo: ¿Qué pasaría si se modificaran e incluso eliminaran tales y cuáles instituciones? Es por eso que algunas utopías, desde la de Tomás Moro (1518) en adelante, implicaron propuestas que desencadenaron movimientos y reformas sociales.	Resulta incoherente afirmar que las utopías	implican la visión de un modelo insuperable de sociedad.	parten de las falencias reales o ficticias de las sociedades.	involucran un análisis o examen crítico de posibilidades.	pueden desencadenar movimientos y reformas sociales.	explicitan los mecanismos para lograr la sociedad perfecta.	E	Una utopía es una visión de la sociedad perfecta sin el establecimiento de los medios para construirla.
Al preconizar la alianza de la inteligencia con el trabajo no pretendemos que, a título de una jerarquía ilusoria, el intelectual se erija en tutor del obrero. A la idea que el cerebro ejerce función más noble que el músculo, debemos el régimen de las castas; hombres que se arrogan el derecho de pensar reservan para las muchedumbres la obligación de creer y trabajar. Los intelectuales sirven de luz, pero no deben hacer de lazarillos. Verdad, el soplo de rebeldía que remueve hoy a las multitudes, viene de pensadores. Así vino siempre. La justicia nace de la sabiduría, el ignorante no conoce el derecho propio, ni el ajeno, y cree que en la fuerza se resume toda la ley del universo. Animada por esa creencia, la humanidad suele tener la resignación del bruto: sufre y calla. Mas, de pronto surge la gran palabra y los resignados acuden al verbo salvador. Figurarse que ellos solos poseen el acierto es el mayor inconveniente de los pensadores. La revolución se opera desde abajo, iluminados por la luz, los oprimidos ven la justicia y se lanzan a conquistarla. GONZALES PRADA, Manuel Horas de lucha	De acuerdo al fragmento, podemos entender que en el régimen de castas	Se valora principalmente la labor intelectual	No se comprende la alianza entre obreros y académicos	Existe un menosprecio notorio de los valores humanos	Percibimos la superioridad de la labor física	El intelectual asume todas las tareas sociales	A	De acuerdo al fragmento, podemos entender que en el régimen de castas se valora principalmente la labor intelectual. Este régimen nace gracias a la idea de que el cerebro ejerce función más noble que el músculo. En este sentido. la utilidad de las mentes se valora más que la utilidad de los cuerpos; y así, el intelectual se sobrepondrá en jerarquía ante los obreros, trabajo es de orden físico. Sin embargo, para el autor, esto no es correcto. Ambos aportes son, para él, igual de importantes. 
Al preconizar la alianza de la inteligencia con el trabajo no pretendemos que, a título de una jerarquía ilusoria, el intelectual se erija en tutor del obrero. A la idea que el cerebro ejerce función más noble que el músculo, debemos el régimen de las castas; hombres que se arrogan el derecho de pensar reservan para las muchedumbres la obligación de creer y trabajar. Los intelectuales sirven de luz, pero no deben hacer de lazarillos. Verdad, el soplo de rebeldía que remueve hoy a las multitudes, viene de pensadores. Así vino siempre. La justicia nace de la sabiduría, el ignorante no conoce el derecho propio, ni el ajeno, y cree que en la fuerza se resume toda la ley del universo. Animada por esa creencia, la humanidad suele tener la resignación del bruto: sufre y calla. Mas, de pronto surge la gran palabra y los resignados acuden al verbo salvador. Figurarse que ellos solos poseen el acierto es el mayor inconveniente de los pensadores. La revolución se opera desde abajo, iluminados por la luz, los oprimidos ven la justicia y se lanzan a conquistarla. GONZALES PRADA, Manuel Horas de lucha	El triunfo de todo movimiento revolucionario requiere de	Una buena preparación de los intelectuales que dirigen	La conjugación del aporte ideológico y el aporte práctico	Un pueblo sujeto principalmente a los intelectuales	Una previa planificación de la actividad social y económica	La colaboración incondicional de los intelectuales	B	"El triunfo de todo movimiento revolucionario requiere de la conjugación del aporte ideológico y el aporte práctico. ""La revolución se opera desde abajo, iluminados por la luz, los oprimidos ven la justicia y se lanzan a conquistarla"". Esta frase elocuente nos dice que la eficacia de una revolución depende básicamente de la unión de dos factores: el primero, el empuje de las masas oprimidas; el segundo, la senda ideológica del líder que guía, es decir, del intelectual. En consecuencia, diremos que toda revolución depende de la unión del aporte de los intelectuales y de los obreros. "
Al preconizar la alianza de la inteligencia con el trabajo no pretendemos que, a título de una jerarquía ilusoria, el intelectual se erija en tutor del obrero. A la idea que el cerebro ejerce función más noble que el músculo, debemos el régimen de las castas; hombres que se arrogan el derecho de pensar reservan para las muchedumbres la obligación de creer y trabajar. Los intelectuales sirven de luz, pero no deben hacer de lazarillos. Verdad, el soplo de rebeldía que remueve hoy a las multitudes, viene de pensadores. Así vino siempre. La justicia nace de la sabiduría, el ignorante no conoce el derecho propio, ni el ajeno, y cree que en la fuerza se resume toda la ley del universo. Animada por esa creencia, la humanidad suele tener la resignación del bruto: sufre y calla. Mas, de pronto surge la gran palabra y los resignados acuden al verbo salvador. Figurarse que ellos solos poseen el acierto es el mayor inconveniente de los pensadores. La revolución se opera desde abajo, iluminados por la luz, los oprimidos ven la justicia y se lanzan a conquistarla. GONZALES PRADA, Manuel Horas de lucha	Un intelectual lazarillo sería aquel que	Se siente perdedor y por ello evidencia una postura fatalista	Cree tener la verdad y se muestra hostil a los obreros	Pretende lograr profundas transformaciones en coordinación con el pueblo	Ha entendido el significado de un intelectual ligado al pueblo	Asume poses de protagonista en las revoluciones sociales	E	Un intelectual lazarillo sería aquel que asume poses de protagonista en las revoluciones sociales. La luz de los intelectuales es la senda de la revolución. Sin embargo, la función de los intelectuales debe evitar exceder sus límites. Esto es el intelectual debe conducir al pueblo por el camino de la justicia, pero no debe aprovecharse de la ignorancia de sus seguidores para satisfacer un provecho personal, tal como lo haría un lazarillo con un ciego. No debe asumir él toda la tarea de la revolución, no debe usurpar una función y un derecho que compete más bien al pueblo. 
Al preconizar la alianza de la inteligencia con el trabajo no pretendemos que, a título de una jerarquía ilusoria, el intelectual se erija en tutor del obrero. A la idea que el cerebro ejerce función más noble que el músculo, debemos el régimen de las castas; hombres que se arrogan el derecho de pensar reservan para las muchedumbres la obligación de creer y trabajar. Los intelectuales sirven de luz, pero no deben hacer de lazarillos. Verdad, el soplo de rebeldía que remueve hoy a las multitudes, viene de pensadores. Así vino siempre. La justicia nace de la sabiduría, el ignorante no conoce el derecho propio, ni el ajeno, y cree que en la fuerza se resume toda la ley del universo. Animada por esa creencia, la humanidad suele tener la resignación del bruto: sufre y calla. Mas, de pronto surge la gran palabra y los resignados acuden al verbo salvador. Figurarse que ellos solos poseen el acierto es el mayor inconveniente de los pensadores. La revolución se opera desde abajo, iluminados por la luz, los oprimidos ven la justicia y se lanzan a conquistarla. GONZALES PRADA, Manuel Horas de lucha	El autor intenta destacar primordialmente	La importancia de la participación masiva en las luchas sociales	La relevancia de los intelectuales tutores que conducen la revolución	Los aportes desinteresados de intelectuales teóricos	La alianza indesligable entre obreros e intelectuales	La necesidad de encaminar la lucha por lo meramente formal	D	"El autor intenta destacar primordialmente la alianza indesligable entre obreros e intelectuales. El autor considera como el mayor de los inconvenientes el hecho de que los intelectuales pretendan hacer sólo suya la verdad. Esto implica que, para el autor, la palabra de ellos no lo es todo. La palabra de los intelectuales es sólo el llamado, el ""trompetazo"" que incita al pueblo a levantarse y exigir justicia. La verdadera acción, la revolución en sí está en manos del pueblo, siempre bajo la luz guía. "
Al preconizar la alianza de la inteligencia con el trabajo no pretendemos que, a título de una jerarquía ilusoria, el intelectual se erija en tutor del obrero. A la idea que el cerebro ejerce función más noble que el músculo, debemos el régimen de las castas; hombres que se arrogan el derecho de pensar reservan para las muchedumbres la obligación de creer y trabajar. Los intelectuales sirven de luz, pero no deben hacer de lazarillos. Verdad, el soplo de rebeldía que remueve hoy a las multitudes, viene de pensadores. Así vino siempre. La justicia nace de la sabiduría, el ignorante no conoce el derecho propio, ni el ajeno, y cree que en la fuerza se resume toda la ley del universo. Animada por esa creencia, la humanidad suele tener la resignación del bruto: sufre y calla. Mas, de pronto surge la gran palabra y los resignados acuden al verbo salvador. Figurarse que ellos solos poseen el acierto es el mayor inconveniente de los pensadores. La revolución se opera desde abajo, iluminados por la luz, los oprimidos ven la justicia y se lanzan a conquistarla. GONZALES PRADA, Manuel Horas de lucha	El músculo y el cerebro equivalen respectivamente a	La corpulencia y la habilidad	La energía mental y física	La capacidad física e intelectual	Las grandes cualidades humanas	Los genios teóricos y prácticos	C	El músculo y el cerebro equivaler respectivamente a la capacidad física e intelectual. En realidad, ambos se complementan para constituir, según la temática del texto, el movimiento de revolución social, el cual es como un gran organismo en el que los músculos se mueven según las ordenes o el impulso del cerebro. Así, en la revolución, el cuerpo es el intelectual, cuyos ideales de justicia llegan hasta el pueblo, que es el músculo para impulsarlo hacia la acción. 
En Europa sigue latiendo un corazón primitivo. Bajo la apariencia de un mundo moderno, sofisticado y de un alto desarrollo tecnológico, se agazapan tradiciones populares y rituales entroncadas con las cosechas, los solsticios y el temor a la oscuridad invernal, y en las que pueden rastrearse ecos de mitos muy antiguos. En este corazón de tinieblas habitan monstruos, pero también la promesa del renacimiento primaveral, de una cosecha abundante y de recién nacidos en brazos de sus madres. Porque Europa, o algunos retazos de ella, no ha perdido el vínculo con los ritmos de la naturaleza. Esa conexión se renueva en las fiestas que se celebran en todo el continente desde principios de diciembre hasta Pascua. Aunque estas celebraciones coinciden con las festividades de la Iglesia, tienen su origen en rituales paganos anteriores al cristianismo, con raíces de difícil identificación.  En ellas los hombres (hasta hace poco casi siempre eran hombres) visten trajes que les ocultan el rostro y la figura. Ataviados de ese modo se echan a las calles, donde el disfraz les permite cruzar la frontera entre lo humano y lo animal, lo real y lo espiritual, la civilización y la naturaleza, la muerte y el renacer. Un hombre «asume una personalidad dual explica António Carneiro, que en el carnaval portugués de Podence se oculta tras una careta diabólica—. Se convierte en algo misterioso». El fotógrafo Charles Fréger se propuso plasmar lo que él llama «la Europa tribal» en dos inviernos de viajes por 19 países. La indumentaria varía de una región a otra e incluso de una aldea a la vecina. En el pueblo rumano de Corlata los hombres se visten de ciervos para recrear una cacería con bailarines.  En Cerdeña el papel del animal sacrificial puede corresponder a cabras, ciervos, jabalíes u osos. En Austria una criatura de apariencia animalizada demoníaca, Krampus, castiga a los niños malos, en contraste con san Nicolás, que premia a los buenos.	El tema central del texto gira en torno de	La historia detrás de los ritos prístinos y la etapa de modernización europea.	La curiosa forma de celebrar ciertas fiestas religiosas en la Europa moderna.	La Europa primitiva y sus rituales en honor a la heteróclita dualidad humana.	La conservación del demonio castigador Krampus en una fiesta de Austria.	Las representaciones animalizadas en fiestas europeas de origen pagano.	E	El texto aborda la persistencia de ciertos rasgos primitivos en festividades europeas en las que los hombres se disfrazan de seres grotescos y animalizados.
La sociedad altamente tecnificada del futuro se configurará en función del cociente de inteligencia, pues al disponer todos de las mismas oportunidades y ante la exigencia de un alto nivel de especialización se presentará este tipo de comunidad para su funcionamiento, cada puesto de trabajo tendrá su candidato indiscutible. La tecnología de futuro será una “meritocracia” y, en consecuencia, las recomendaciones de nada servirán; por ejemplo, el hijo de un individuo bien situado no podría ocupar una posición análoga a la de su padre si su cociente de inteligencia y su educación no se encontrarán al nivel de los de su progenitor. Resumiendo, será una sociedad donde, probablemente, las escuelas licenciarán mayor proporción de gente educada que actualmente, pero donde la gran mayoría de los ciudadanos serán incapaces de comprender el futuro automatizado. Quizá comprendan los rudimentos del cálculo, de las ciencias naturales y de las humanidades; pero la investigación científica, los problemas gubernamentales y su interacción estarán fuera del alcance incluso de los licenciados universitarios. Además, la mayor parte de la gente tendrá que reconocer que, desde el punto de vista de la lógica, las computadoras pensarán, en líneas generales, mejor que ellos mismos.	“Meritocracia” significa en este texto una tecnocracia de los más	Conocidos e intelectuales	Inteligentes y preparados	Pudientes e inteligentes	Preparados y ricos	Ricos y recomendados	B	“La tecnología del futuro será una “Meritocracia” y, en consecuencia, las recomendaciones de nada servirán –por lo que se entiende que el individuo tendrá que estar bien preparado-. Además, se da a entender que el cociente de inteligencia será elevado. Por lo tanto, la respuesta sería la alternativa (b)
La sociedad altamente tecnificada del futuro se configurará en función del cociente de inteligencia, pues al disponer todos de las mismas oportunidades y ante la exigencia de un alto nivel de especialización se presentará este tipo de comunidad para su funcionamiento, cada puesto de trabajo tendrá su candidato indiscutible. La tecnología de futuro será una “meritocracia” y, en consecuencia, las recomendaciones de nada servirán; por ejemplo, el hijo de un individuo bien situado no podría ocupar una posición análoga a la de su padre si su cociente de inteligencia y su educación no se encontrarán al nivel de los de su progenitor. Resumiendo, será una sociedad donde, probablemente, las escuelas licenciarán mayor proporción de gente educada que actualmente, pero donde la gran mayoría de los ciudadanos serán incapaces de comprender el futuro automatizado. Quizá comprendan los rudimentos del cálculo, de las ciencias naturales y de las humanidades; pero la investigación científica, los problemas gubernamentales y su interacción estarán fuera del alcance incluso de los licenciados universitarios. Además, la mayor parte de la gente tendrá que reconocer que, desde el punto de vista de la lógica, las computadoras pensarán, en líneas generales, mejor que ellos mismos.	En la futura sociedad tecnificada habrá para cada puesto de trabajo	Una mayor exigencia intelectual	Varios candidatos de alto nivel	Un postulante más recomendado que otros	Varios candidatos con iguales méritos	Un aspirante mejor educado que otros	A	“La sociedad altamente tecnificada del futuro se configurará en función del cociente de inteligencia; pues al disponer todas las mismas oportunidades y ante la exigencia de un alto nivel de especialización que presentará este tipo de comunidad… cada cargo tendrá su candidato indiscutible…”. Analizando las palabras resaltadas encontramos que en el futuro habrá una mayor exigencia intelectual. 
